No.,FAM,ROD,DRUH,LOKALITA,STATE/PROV,ZEME,CMP,DEN_POC,MES_POC,ROK_POC,DEN_KON,MES_KON,ROK_KON,POCET_M,POCET_F,POCET_TOT,BIOTOP,METRU_OD,METRU_DO,METODA_SB,LEG,COLL,DET,ROK,REV,ROK,ZDROJ,POZN.,N/S,E/W
23048,Silphidae,Thanatophilus,sinuatus,Freida,,Algeria,,NA,NA,NA,,,,3,1,4,Ob-1026,,,,"H. Tondu, ex coll. R. Oberthür",Museum Bonn,J. Růžička,2015,,,PC,,,
8212,Silphidae,Thanatophilus,sinuatus,Sevan,,Armenia,,1,6,1973,30,6,1973,1,,1,,,,,A. Olexa,A. Olexa,J. Růžička,1993,,,Sil1,,,
8211,Silphidae,Thanatophilus,sinuatus,Arzakan,,Armenia,,3,7,1978,,,,1,,1,,,,,A. Olexa,A. Olexa,J. Růžička,1993,,,Sil1,,,
9121,Silphidae,Thanatophilus,sinuatus,Brixen,,Austria,,1,1,1911,31,12,1911,1,,1,,,,,-,Ostravské muzeum,J. Růžička,1996,,,Sil1,,,
7749,Silphidae,Thanatophilus,sinuatus,Prater,,Austria,,NA,NA,NA,,,,1,,1,,,,,coll. Schrötter,"Slovenské národné múzeum, Bratislava",J. Růžička,1993,,,Sil1,,,
9122,Silphidae,Thanatophilus,sinuatus,Gänserndorf,Lower Austria,Austria,,NA,NA,NA,,,,,1,1,,,,,R. Wawerka,Ostravské muzeum,J. Růžička,1996,,,Sil1,,,
19826,Silphidae,Thanatophilus,sinuatus,"Wien, Türkensch.",,Austria,,NA,NA,NA,,,,1,1,2,,,,,-,Mus. Basel,J. Růžička,2011,,,PC,,,
11162,Silphidae,Thanatophilus,sinuatus,Bihać env.,Bosnia,Bosnia and Herzegovina,,1,7,1944,31,7,1944,1,,1,,,,,E. Prettner,"Prirodoslovni muzej Slovenije, Ljubljana",J. Růžička,1996,,,Sil5,,,
7741,Silphidae,Thanatophilus,sinuatus,Sarajevo,Bosnia,Bosnia and Herzegovina,,NA,NA,NA,,,,,1,1,,,,,-,"Slovenské národné múzeum, Bratislava",J. Růžička,1993,,,Sil1,,,
7744,Silphidae,Thanatophilus,sinuatus,Dolnja Tuzla [Tuzla],Bosnia,Bosnia and Herzegovina,,NA,NA,NA,,,,1,,1,,,,,Fritsch,"Slovenské národné múzeum, Bratislava",J. Růžička,1993,,,Sil1,,,
7976,Silphidae,Thanatophilus,sinuatus,Topolovgrad,,Bulgaria,,1,6,1966,30,6,1966,,1,1,,,,,-,coll. I. Grulich in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
9102,Silphidae,Thanatophilus,sinuatus,Arkutino,,Bulgaria,,18,6,1985,26,6,1985,,1,1,,,,,M. Vrba,V. Mikuda,J. Růžička,1995,,,Sil1,,,
18295,Silphidae,Thanatophilus,sinuatus,Albena,,Bulgaria,,,7,1973,,,,1,1,2,,,,,L. Marek,"Dept. Zoology, Charles University",J. Růžička,2009,,,PC,,,
24149,Silphidae,Thanatophilus,sinuatus,Melnik,,Bulgaria,,8,6,1978,,,,1,,1,,,,,L. Mencl,L. Mencl (Týnec nad Labem),J. Růžička,2016,,,PC,,,
12309,Silphidae,Thanatophilus,sinuatus,Kiten,,Bulgaria,,17,6,1983,,,,1,,1,,,,,J. Lebduška,M. Trýzna,J. Růžička,2005,,,Sil7,,,
12311,Silphidae,Thanatophilus,sinuatus,Kiten,,Bulgaria,,20,6,1983,,,,1,,1,,,,,J. Lebduška,M. Trýzna,J. Růžička,2005,,,Sil7,,,
8019,Silphidae,Thanatophilus,sinuatus,Melnik,,Bulgaria,,6,6,1984,,,,,1,1,,,,,V. Karas,Karas,J. Růžička,1993,,,Sil1,,,
13527,Silphidae,Thanatophilus,sinuatus,Rhodopes-Smoljan Region-Adra Village,,Bulgaria,,30,5,2005,,,,,1,1,,,,,T. Lackner,J. Cooter,J. Růžička,2006,,,Sil8,,,
7726,Silphidae,Thanatophilus,sinuatus,Varna,,Bulgaria,,NA,NA,NA,,,,7,4,11,,,,,Laco,"Slovenské národné múzeum, Bratislava",J. Růžička,1993,,,Sil1,,,
11229,Silphidae,Thanatophilus,sinuatus,Borohoro Shan Mts.-Jining Ining-H-Sien,,China, ,26,7,1991,31,7,1991,1,1,2,,,,,M. Snížek,M. Trýzna,J. Schneider,2002,,,Sil5,,44.06N,81.56 E
13500,Silphidae,Thanatophilus,sinuatus,Borohoro Shan Mts.-Jining Ining-H-Sien,,China,,26,7,1991,31,7,1991,1,1,2,,,,,M. Snížek,M. Trýzna,J. Růžička,2005,,,Sil8,,"44,06N","81,56E"
13511,Silphidae,Thanatophilus,sinuatus,Chao Shan-25 km SE Pinyao,Shanxi,China,,4,7,2001,5,7,2001,1,,1,,,,,O. Šafránek,M. Trýzna,J. Růžička,2005,,,Sil8,,"37,1°N","112,4°E"
7719,Silphidae,Thanatophilus,sinuatus,Praha,Bohemia,Czech Republic,,1,1,1890,31,12,1890,1 spec.,,1,,,,,Fulín,"coll. J. Roubal in Slovenské národné múzeum, Bratislava",J. Růžička,1992,,,Sil1,,,
7990,Silphidae,Thanatophilus,sinuatus,Lechotitz [Lechotice],Moravia,Czech Republic,,1,1,1905,31,12,1905,2,,2,,,,,-,coll. Nekolný in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
7712,Silphidae,Thanatophilus,sinuatus,Roudnice,Bohemia,Czech Republic,,1,6,1907,30,6,1907,1 spec.,,1,,,,,Roubal,"coll. J. Roubal in Slovenské národné múzeum, Bratislava",J. Růžička,1992,,,Sil1,,,
7739,Silphidae,Thanatophilus,sinuatus,[Praha-] Modřany,Bohemia,Czech Republic,5952,1,6,1907,30,6,1907,,1,1,,,,,-,"Slovenské národné múzeum, Bratislava",J. Růžička,1993,,,Sil1,,,
7068,Silphidae,Thanatophilus,sinuatus,Svitávka-Souček,Moravia,Czech Republic,,1,1,1910,31,12,1910,,1,1,,,,,J. Volák,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7991,Silphidae,Thanatophilus,sinuatus,Tobitschau [Tovačov],Moravia,Czech Republic,6569,1,1,1910,31,12,1910,,1,1,,,,,Waka,coll. Nekolný in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
9083,Silphidae,Thanatophilus,sinuatus,Znojmo,Moravia,Czech Republic,,1,1,1925,31,12,1925,1,2,3,,,,,-,Jihomoravské muzeum ve Znojmě,J. Růžička,1995,,,Sil1,,,
9084,Silphidae,Thanatophilus,sinuatus,Znojmo,Moravia,Czech Republic,,1,1,1926,31,12,1926,1,,1,,,,,-,Jihomoravské muzeum ve Znojmě,J. Růžička,1995,,,Sil1,,,
16555,Silphidae,Thanatophilus,sinuatus,"Dolní Bousov env., Spařence",Bohemia,Czech Republic,,1,7,1935,31,7,1935,,1,1,,,,,-,V. Kalík,J. Růžička,1986,,,Sil9,,,
7056,Silphidae,Thanatophilus,sinuatus,"Slavkov u Brna env., Heršpice",Moravia,Czech Republic,,1,6,1936,30,6,1936,1,,1,,,,,J. Volák,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7070,Silphidae,Thanatophilus,sinuatus,Milotice,,Czech Republic,,1,6,1939,30,6,1939,1,,1,,,,,J. Winter,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7986,Silphidae,Thanatophilus,sinuatus,Náchod env.,Bohemia,Czech Republic,,1,8,1941,31,8,1941,1,,1,,,,,Rauscher,coll. J. Raušer in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
11199,Silphidae,Thanatophilus,sinuatus,Náchod env.,Bohemia,Czech Republic,,1,8,1941,31,8,1941,1,,1,,,,,Rauscher ,coll. J. Raušer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
7985,Silphidae,Thanatophilus,sinuatus,"Brno env.,",Moravia,Czech Republic,,1,5,1942,31,5,1942,1,,1,,,,,Rauscher,coll. J. Raušer in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
11201,Silphidae,Thanatophilus,sinuatus,"Brno env.,",Moravia,Czech Republic,,1,5,1942,31,5,1942,1,,1,,,,,Rauscher ,coll. J. Raušer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
7074,Silphidae,Thanatophilus,sinuatus,Náměšť,Moravia,Czech Republic,,1,8,1943,31,8,1943,,1,1,,,,,Obrtel,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7984,Silphidae,Thanatophilus,sinuatus,Rebešovice,Moravia,Czech Republic,,1,5,1943,31,5,1943,,1,1,,,,,Rauscher,coll. J. Raušer in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
11198,Silphidae,Thanatophilus,sinuatus,"Hodonín env., Čejč",Moravia,Czech Republic,7067,1,5,1943,31,5,1943,1,,1,,,,,Rauscher ,coll. J. Raušer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,,,
11210,Silphidae,Thanatophilus,sinuatus,Rebešovice,Moravia,Czech Republic,,1,5,1943,31,5,1943,,1,1,,,,,Rauscher ,coll. J. Raušer in Moravské zemské muzeum Brno,J. Růžička,2002,,,Sil5,JR det. 1993,,
7085,Silphidae,Thanatophilus,sinuatus,Mladá Boleslav,Bohemia,Czech Republic,,1,1,1944,31,12,1944,1,,1,,,,,K. Mikvas,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
8206,Silphidae,Thanatophilus,sinuatus,Praha 11,Bohemia,Czech Republic,,1,5,1945,31,5,1945,,1,1,,,,,A. Olexa,A. Olexa,J. Růžička,1993,,,Sil1,,,
10031,Silphidae,Thanatophilus,sinuatus,Praha-Jarov,Bohemia,Czech Republic,,1,4,1945,30,4,1945,,1,1,,,,,R. Rous,R. Rous,J. Růžička,1988,,,Sil3,,,
7038,Silphidae,Thanatophilus,sinuatus,Mimoň,Bohemia,Czech Republic,5354,1,7,1946,31,7,1946,,1,1,,,,,Roubal,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
10030,Silphidae,Thanatophilus,sinuatus,Praha 7,Bohemia,Czech Republic,,1,4,1946,30,4,1946,,1,1,,,,,R. Rous,R. Rous,J. Růžička,1988,,,Sil3,,,
11197,Silphidae,Thanatophilus,sinuatus,Říčany-Radošovice,Bohemia,Czech Republic,,1,1,1946,31,12,1946,,1,1,,,,,P. Pecina,O. Hovorka,J. Růžička,2002,,,Sil5,,,
7705,Silphidae,Thanatophilus,sinuatus,"Znojmo env., Plaveč",Moravia,Czech Republic,,1,6,1948,30,6,1948,1 spec.,,1,,,,,Roubal,"coll. J. Roubal in Slovenské národné múzeum, Bratislava",J. Růžička,1992,,,Sil1,,,
9093,Silphidae,Thanatophilus,sinuatus,Chlum u Třeboně,Bohemia,Czech Republic,7055,1,5,1948,31,5,1948,1,2,3,,,,,J. Niedl,J. Čech,J. Růžička,1995,,,Sil1,,,
7987,Silphidae,Thanatophilus,sinuatus,"Hodonín env., Čejč",Moravia,Czech Republic,,1,5,1949,31,5,1949,1,,1,,,,,Rauscher,coll. J. Raušer in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
7039,Silphidae,Thanatophilus,sinuatus,Choťovice env.,Bohemia,Czech Republic,,1,6,1950,30,6,1950,1,,1,,,,,A. Růžička,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
11196,Silphidae,Thanatophilus,sinuatus,Krkonoše Mts.-Horní Albeřice,Bohemia,Czech Republic,,1,1,1950,31,12,1950,,1,1,,,,,P. Pecina,O. Hovorka,J. Růžička,2002,,,Sil5,,,
7036,Silphidae,Thanatophilus,sinuatus,Hradec Králové env.,Bohemia,Czech Republic,,1,5,1951,31,5,1951,,1,1,,,,,coll. Balthasar,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,fr.,,
9111,Silphidae,Thanatophilus,sinuatus,Orlík,Bohemia,Czech Republic,,1,7,1951,31,7,1951,2,,2,,,,,J. Mašek,J. Mašek,J. Růžička,1995,,,Sil1,,,
11195,Silphidae,Thanatophilus,sinuatus,Krkonoše Mts.-Horní Albeřice,Bohemia,Czech Republic,,1,1,1952,31,12,1952,1,1,2,,,,,P. Pecina,O. Hovorka,J. Růžička,2002,,,Sil5,,,
7995,Silphidae,Thanatophilus,sinuatus,Kladno,Bohemia,Czech Republic,,1,4,1953,30,4,1953,1 spec.,,1,,,,,Voříšek,J. Háva,J. Háva,1992,,,Sil1,,,
7997,Silphidae,Thanatophilus,sinuatus,Srby,Bohemia,Czech Republic,,1,5,1954,31,5,1954,1 spec.,,1,,,,,Voříšek,J. Háva,J. Háva,1992,,,Sil1,,,
7044,Silphidae,Thanatophilus,sinuatus,Choťovice,Bohemia,Czech Republic,,1,6,1954,30,6,1954,2,1,3,,,,,Balthasar & Růžička,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7989,Silphidae,Thanatophilus,sinuatus,Liberec,Bohemia,Czech Republic,,1,6,1955,30,6,1955,,1,1,limes,,,,Brejcha,coll. Brejcha in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
9092,Silphidae,Thanatophilus,sinuatus,Chlum u Třeboně,Bohemia,Czech Republic,7055,1,5,1955,31,5,1955,1,,1,,,,,J. Niedl,J. Čech,J. Růžička,1995,,,Sil1,,,
7988,Silphidae,Thanatophilus,sinuatus,Liberec,Bohemia,Czech Republic,,1,6,1955,30,6,1955,2,1,3,field road,,,,Brejcha,coll. Brejcha in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
7063,Silphidae,Thanatophilus,sinuatus,"Slavkov u Brna env., Heršpice",Moravia,Czech Republic,,1,7,1956,31,7,1956,1,,1,,,,,J. Volák,coll. J. Volák in Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
16554,Silphidae,Thanatophilus,sinuatus,Svojšice,Bohemia,Czech Republic,,1,7,1956,31,7,1956,,1,1,,,,,J. Rule,V. Kalík,J. Růžička,1986,,,Sil9,,,
7043,Silphidae,Thanatophilus,sinuatus,Běleč nad Orlicí,Bohemia,Czech Republic,,1,5,1957,31,5,1957,1,,1,,,,,Hozák,Muzeum východních Čech v Hradci Králové,J. Růžička,1992,,,Sil1,,,
7086,Silphidae,Thanatophilus,sinuatus,Mladá Boleslav,Bohemia,Czech Republic,,1,1,1962,31,12,1962,,1,1,,,,,K. Mikvas,Vlastivědné muzeum v České Lípě,J. Růžička,1992,,,Sil1,,,
11236,Silphidae,Thanatophilus,sinuatus,Budišov,Moravia,Czech Republic,,1,1,1964,31,12,1964,,1,1,,,,,A. Hamet,A. Hamet,J. Palásek,-,J. Růžička,2003,Sil5,,,
9076,Silphidae,Thanatophilus,sinuatus,Velké Němčice-Brodeč,Moravia,Czech Republic,,1,5,1966,31,5,1966,,1,1,saline soil,,,,J. Dezort,coll. J. Dezort in Moravské zemské muzeum Brno,J. Růžička,1994,,,Sil1,,,
7975,Silphidae,Thanatophilus,sinuatus,Studenec,Moravia,Czech Republic,,1,5,1969,31,5,1969,1,,1,,,,,Grulich,coll. I. Grulich in Moravské zemské muzeum Brno,J. Růžička,1993,,,Sil1,,,
8024,Silphidae,Thanatophilus,sinuatus,Litoměřice,Bohemia,Czech Republic,,1,5,1970,31,5,1970,1,,1,,,,,Piskáček,P. Moravec,J. Růžička,1995,,,Sil1,,,
8203,Silphidae,Thanatophilus,sinuatus,"Frýdek Místek env., Dobratice",Moravia,Czech Republic,,8,5,1975,14,5,1975,12,10,22,,,,,M. Kuboň,M. Kuboň,J. Růžička,1993,,,Sil1,,,
8000,Silphidae,Thanatophilus,sinuatus,Doupov,Bohemia,Czech Republic,,1,5,1977,31,5,1977,1 spec.,,1,,,,,J. Jurčíček,J. Jurčíček,J. Háva,1992,,,Sil1,,,
